Tarih,Fiyat
2016-10-18,125.775
2016-10-19,124.969
2016-10-20,124.505
2016-10-21,125.395
2016-10-23,125.464
2016-10-24,125.221
2016-10-25,125.847
2016-10-26,125.502
2016-10-27,127.042
2016-10-28,127.465
2016-10-30,127.867
2016-10-31,127.068
2016-11-01,128.966
2016-11-02,130.0
2016-11-03,130.451
2016-11-04,132.44
2016-11-06,130.675
2016-11-07,130.669
2016-11-08,129.535
2016-11-09,131.731
2016-11-10,131.737
2016-11-11,128.293
2016-11-13,128.275
2016-11-14,129.478
2016-11-15,129.779
2016-11-16,130.955
2016-11-17,131.865
2016-11-18,130.81
2016-11-20,131.074
2016-11-21,131.303
2016-11-22,131.948
2016-11-23,129.949
2016-11-24,132.125
2016-11-25,131.124
2016-11-27,131.762
2016-11-28,131.067
2016-11-29,130.359
2016-11-30,129.556
2016-12-01,132.093
2016-12-02,133.127
2016-12-04,134.546
2016-12-05,132.585
2016-12-06,129.564
2016-12-07,128.058
2016-12-08,129.946
2016-12-09,129.719
2016-12-11,130.831
2016-12-12,129.893
2016-12-13,130.025
2016-12-14,129.978
2016-12-15,127.281
2016-12-16,127.922
2016-12-18,127.791
2016-12-19,129.38
2016-12-20,128.224
2016-12-21,127.647
2016-12-22,127.416
2016-12-23,128.135
2016-12-26,127.988
2016-12-27,129.043
2016-12-28,129.958
2016-12-29,131.244
2016-12-30,130.679
2017-01-02,131.077
2017-01-03,133.668
2017-01-04,133.865
2017-01-05,136.466
2017-01-06,137.393
2017-01-08,137.505
2017-01-09,141.212
2017-01-10,144.879
2017-01-11,148.678
2017-01-12,144.81
2017-01-13,143.402
2017-01-15,144.683
2017-01-16,147.448
2017-01-17,146.988
2017-01-18,147.278
2017-01-19,148.179
2017-01-20,146.518
2017-01-22,147.394
2017-01-23,147.005
2017-01-24,147.103
2017-01-25,147.987
2017-01-26,147.539
2017-01-27,148.211
2017-01-29,148.559
2017-01-30,145.373
2017-01-31,147.012
2017-02-01,146.775
2017-02-02,146.028
2017-02-03,144.909
2017-02-05,145.466
2017-02-06,146.255
2017-02-07,148.282
2017-02-08,147.973
2017-02-09,145.321
2017-02-10,146.572
2017-02-12,146.101
2017-02-13,144.762
2017-02-14,144.286
2017-02-15,145.012
2017-02-16,146.031
2017-02-17,144.144
2017-02-19,144.341
2017-02-20,144.204
2017-02-21,143.979
2017-02-22,142.517
2017-02-23,143.368
2017-02-24,145.828
2017-02-26,145.407
2017-02-27,145.399
2017-02-28,145.992
2017-03-01,146.441
2017-03-02,148.101
2017-03-03,147.005
2017-03-05,147.689
2017-03-06,146.463
2017-03-07,143.89
2017-03-08,145.543
2017-03-09,145.585
2017-03-10,144.603
2017-03-12,145.087
2017-03-13,144.669
2017-03-14,144.399
2017-03-15,144.225
2017-03-16,143.102
2017-03-17,143.78
2017-03-19,143.689
2017-03-20,143.866
2017-03-21,145.579
2017-03-22,144.875
2017-03-23,145.542
2017-03-24,144.575
2017-03-26,145.082
2017-03-27,145.69
2017-03-28,147.043
2017-03-29,146.798
2017-03-30,146.163
2017-03-31,145.972
2017-04-02,145.853
2017-04-03,147.173
2017-04-04,148.5
2017-04-05,149.957
2017-04-06,149.245
2017-04-07,150.344
2017-04-09,150.484
2017-04-10,150.6
2017-04-11,151.66
2017-04-12,151.016
2017-04-13,151.668
2017-04-16,151.387
2017-04-17,152.758
2017-04-18,151.6
2017-04-19,151.161
2017-04-20,150.029
2017-04-21,150.34
2017-04-23,148.047
2017-04-24,146.918
2017-04-25,145.502
2017-04-26,145.599
2017-04-27,144.864
2017-04-28,144.817
2017-04-30,145.143
2017-05-01,143.618
2017-05-02,142.386
2017-05-03,140.76
2017-05-04,140.276
2017-05-05,139.889
2017-05-07,140.579
2017-05-08,141.552
2017-05-09,142.555
2017-05-10,140.378
2017-05-11,140.932
2017-05-12,141.044
2017-05-14,141.291
2017-05-15,140.471
2017-05-16,141.635
2017-05-17,145.33
2017-05-18,145.501
2017-05-19,144.322
2017-05-21,144.755
2017-05-22,144.845
2017-05-23,143.833
2017-05-24,143.944
2017-05-25,144.014
2017-05-26,145.844
2017-05-28,145.921
2017-05-29,145.857
2017-05-30,144.258
2017-05-31,143.964
2017-06-01,143.573
2017-06-02,144.268
2017-06-04,144.312
2017-06-05,145.099
2017-06-06,146.194
2017-06-07,146.708
2017-06-08,145.374
2017-06-09,143.972
2017-06-11,144.286
2017-06-12,143.058
2017-06-13,143.397
2017-06-14,141.733
2017-06-15,141.761
2017-06-16,141.168
2017-06-18,141.272
2017-06-19,140.902
2017-06-20,141.9
2017-06-21,141.814
2017-06-22,141.381
2017-06-23,141.772
2017-06-25,141.769
2017-06-26,139.964
2017-06-27,141.575
2017-06-28,141.144
2017-06-29,141.281
2017-06-30,140.533
2017-07-02,140.555
2017-07-03,139.875
